Question,Answer
22,1
20,1
20,1
20,1
21,1
21,1
21,1
21,1
18,0
18,0
18,1
18,0
18,0
18,0
18,0
18,0
18,0
18,1
18,0
18,0
18,1
33,1
33,1
18,1
18,1
37,1
37,1
37,0
37,1
37,1
37,0
37,1
37,1
37,1
30,1
30,1
37,1
30,1
69,0
69,0
69,1
69,1
69,1
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
69,0
24,1
24,1
24,0
24,0
24,0
24,0
24,1
24,1
24,1
69,0
69,1
69,1
19,1
19,1
60,0
60,0
60,0
60,1
60,0
60,1
60,1
27,0
27,0
27,0
27,1
27,1
27,0
27,1
27,0
27,0
60,1
40,1
59,1
27,0
27,0
27,1
27,1
27,1
27,1
34,1
34,0
34,0
34,0
34,0
34,0
34,1
34,1
34,1
21,0
21,0
21,0
21,1
21,0
14,1
14,1
34,1
21,1
21,1
21,1
26,1
26,1
58,1
58,0
58,0
58,0
58,0
26,1
42,0
42,1
42,1
42,1
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,0
42,0
25,1
42,1
42,1
43,1
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
1,0
1,1
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
80,1
18,1
57,1
41,0
41,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,1
31,0
41,1
41,0
41,1
41,1
41,1
41,0
41,1
35,0
35,1
35,1
35,1
36,0
36,0
36,0
36,0
36,1
26,0
26,1
26,0
26,0
26,0
26,1
26,0
26,1
26,1
26,0
26,0
26,1
26,1
26,0
26,0
26,1
26,1
26,0
26,0
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,0
26,1
26,1
26,1
26,1
26,1
26,0
26,0
26,1
26,0
26,1
26,1
28,1
28,1
28,0
28,1
28,1
28,1
28,1
31,0
31,0
31,0
26,1
26,1
70,1
70,1
70,1
58,1
58,1
58,0
58,1
58,1
58,1
25,1
42,1
25,1
42,1
25,0
42,0
25,1
42,1
25,1
42,1
25,1
42,1
26,0
26,1
26,0
26,1
26,1
26,1
72,0
72,0
72,1
72,1
72,0
43,0
43,1
43,1
43,1
43,1
43,1
66,0
66,0
66,0
66,0
66,0
28,0
28,0
28,0
28,0
28,1
28,1
68,0
68,0
68,1
68,1
68,1
68,1
68,1
68,1
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,0
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,1
2,0
2,0
2,1
2,1
2,0
2,0
2,1
2,1
2,1
2,1
2,1
83,0
1,1
81,1
82,1
31,0
31,1
31,1
31,1
31,1
31,1
31,1
28,1
28,1
70,1
70,1
70,1
31,1
31,1
31,0
66,0
66,0
66,0
66,0
66,0
66,1
66,1
66,1
66,0
66,0
66,1
66,1
28,0
41,1
41,1
41,1
41,1
36,0
36,0
36,1
36,1
36,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
25,1
42,1
25,0
42,0
25,1
42,1
25,1
42,1
25,1
42,1
25,1
42,1
25,1
42,1
25,1
42,1
72,1
72,1
72,1
66,0
66,0
66,1
66,1
66,1
66,0
66,0
66,1
66,1
66,0
66,0
66,1
66,1
66,0
66,0
66,1
66,1
66,0
66,0
66,1
66,1
66,0
66,0
66,1
66,1
66,1
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
28,0
28,0
28,1
28,1
28,1
84,0
28,0
84,1
28,1
84,0
28,0
84,0
28,0
84,1
28,1
84,1
28,1
84,1
28,1
25,0
42,0
25,1
42,1
25,0
42,0
25,1
42,1
25,1
42,1
25,1
42,1
25,0
42,0
25,0
42,0
25,1
42,1
64,0
64,0
64,1
64,1
64,1
85,0
64,0
64,0
85,0
85,0
64,0
64,0
64,1
64,1
85,1
39,1
86,1
39,1
75,1
66,0
66,0
66,1
66,1
66,0
66,1
66,1
66,0
66,0
66,0
66,1
66,1
66,0
66,1
66,1
66,1
66,0
66,0
66,1
66,1
66,0
66,0
66,1
66,0
66,0
66,0
66,1
66,0
66,1
10,0
10,0
10,0
10,0
10,0
10,1
10,0
66,0
10,0
10,1
10,1
10,1
10,0
10,0
10,1
10,1
10,1
66,0
66,0
66,1
66,1
66,1
10,1
10,1
10,0
35,0
10,0
35,0
10,0
35,0
10,1
35,1
10,1
35,1
10,0
35,0
10,0
35,0
10,0
35,0
10,0
35,0
10,0
35,0
10,1
35,1
10,1
35,1
10,1
35,1
10,1
35,1
10,1
35,1
6,1
8,1
6,1
9,1
6,1
9,1
17,1
17,1
11,0
11,1
11,0
11,1
11,1
11,1
4,1
9,1
4,1
9,1
4,0
5,0
4,1
5,1
4,1
5,1
4,1
5,1
4,1
7,1
4,1
7,1
5,0
8,1
5,1
8,1
8,1
4,1
22,1
25,0
42,0
25,1
42,1
25,1
42,1
25,0
42,0
25,1
42,1
25,1
42,1
25,1
42,1
3,0
3,0
3,1
3,1
3,0
29,1
18,1
