,Old_tag,New_Tag,Answer,Description
0,22,1,1,Addition Whole Numbers
1,20,2,1,Addition and Subtraction Integers
2,20,2,1,Addition and Subtraction Integers
3,20,2,1,Addition and Subtraction Integers
4,21,3,1,Multiplication and Division Integers
5,21,3,1,Multiplication and Division Integers
6,21,3,1,Multiplication and Division Integers
7,21,3,1,Multiplication and Division Integers
8,18,4,0,Addition and Subtraction Positive Decimals
9,18,4,0,Addition and Subtraction Positive Decimals
10,18,4,1,Addition and Subtraction Positive Decimals
11,18,4,0,Addition and Subtraction Positive Decimals
12,18,4,0,Addition and Subtraction Positive Decimals
13,18,4,0,Addition and Subtraction Positive Decimals
14,18,4,0,Addition and Subtraction Positive Decimals
15,18,4,0,Addition and Subtraction Positive Decimals
16,18,4,0,Addition and Subtraction Positive Decimals
17,18,4,1,Addition and Subtraction Positive Decimals
18,18,4,0,Addition and Subtraction Positive Decimals
19,18,4,0,Addition and Subtraction Positive Decimals
20,18,4,1,Addition and Subtraction Positive Decimals
21,33,5,1,Ordering Integers
22,33,5,1,Ordering Integers
23,18,4,1,Addition and Subtraction Positive Decimals
24,18,4,1,Addition and Subtraction Positive Decimals
25,37,6,1,Ordering Positive Decimals
26,37,6,1,Ordering Positive Decimals
27,37,6,0,Ordering Positive Decimals
28,37,6,1,Ordering Positive Decimals
29,37,6,1,Ordering Positive Decimals
30,37,6,0,Ordering Positive Decimals
31,37,6,1,Ordering Positive Decimals
32,37,6,1,Ordering Positive Decimals
33,37,6,1,Ordering Positive Decimals
34,30,7,1,Ordering Fractions
35,30,7,1,Ordering Fractions
36,37,6,1,Ordering Positive Decimals
37,30,7,1,Ordering Fractions
38,69,8,0,Least Common Multiple
39,69,8,0,Least Common Multiple
40,69,8,1,Least Common Multiple
41,69,8,1,Least Common Multiple
42,69,8,1,Least Common Multiple
43,69,8,0,Least Common Multiple
44,69,8,0,Least Common Multiple
45,69,8,0,Least Common Multiple
46,69,8,0,Least Common Multiple
47,69,8,0,Least Common Multiple
48,69,8,0,Least Common Multiple
49,69,8,0,Least Common Multiple
50,69,8,0,Least Common Multiple
51,69,8,0,Least Common Multiple
52,69,8,0,Least Common Multiple
53,69,8,0,Least Common Multiple
54,69,8,0,Least Common Multiple
55,69,8,0,Least Common Multiple
56,69,8,0,Least Common Multiple
57,69,8,0,Least Common Multiple
58,24,9,1,Addition and Subtraction Fractions
59,24,9,1,Addition and Subtraction Fractions
60,24,9,0,Addition and Subtraction Fractions
61,24,9,0,Addition and Subtraction Fractions
62,24,9,0,Addition and Subtraction Fractions
63,24,9,0,Addition and Subtraction Fractions
64,24,9,1,Addition and Subtraction Fractions
65,24,9,1,Addition and Subtraction Fractions
66,24,9,1,Addition and Subtraction Fractions
67,69,8,0,Least Common Multiple
68,69,8,1,Least Common Multiple
69,69,8,1,Least Common Multiple
70,19,10,1,Multiplication Fractions
71,19,10,1,Multiplication Fractions
72,60,11,0,Division Fractions
73,60,11,0,Division Fractions
74,60,11,0,Division Fractions
75,60,11,1,Division Fractions
76,60,11,0,Division Fractions
77,60,11,1,Division Fractions
78,60,11,1,Division Fractions
79,27,12,0,"Order of Operations +,-,/,* () positive reals"
80,27,12,0,"Order of Operations +,-,/,* () positive reals"
81,27,12,0,"Order of Operations +,-,/,* () positive reals"
82,27,12,1,"Order of Operations +,-,/,* () positive reals"
83,27,12,1,"Order of Operations +,-,/,* () positive reals"
84,27,12,0,"Order of Operations +,-,/,* () positive reals"
85,27,12,1,"Order of Operations +,-,/,* () positive reals"
86,27,12,0,"Order of Operations +,-,/,* () positive reals"
87,27,12,0,"Order of Operations +,-,/,* () positive reals"
88,60,11,1,Division Fractions
89,40,13,1,Order of Operations All
90,59,14,1,Exponents
91,27,12,0,"Order of Operations +,-,/,* () positive reals"
92,27,12,0,"Order of Operations +,-,/,* () positive reals"
93,27,12,1,"Order of Operations +,-,/,* () positive reals"
94,27,12,1,"Order of Operations +,-,/,* () positive reals"
95,27,12,1,"Order of Operations +,-,/,* () positive reals"
96,27,12,1,"Order of Operations +,-,/,* () positive reals"
97,34,15,1,Conversion of Fraction Decimals Percents
98,34,15,0,Conversion of Fraction Decimals Percents
99,34,15,0,Conversion of Fraction Decimals Percents
100,34,15,0,Conversion of Fraction Decimals Percents
101,34,15,0,Conversion of Fraction Decimals Percents
102,34,15,0,Conversion of Fraction Decimals Percents
